Reporter,type_Reporter,Partner,type_Partner,Flow,Item_code,type_Item,Year,Reported_value,Final_value,Final_value_methodology,Balanced_value
AR,c,WL,g,X,SB,s,2015,101.439801,101.439801,R_IMF,99.619921
AR,c,WL,g,X,SC,s,2015,2329.777818,2329.777818,R_IMF,2218.667979
AR,c,WL,g,X,SD,s,2015,4926.954837,4926.954837,R_IMF,4465.435561
AR,c,WL,g,X,SE,s,2015,9.1088,9.1088,R_IMF,56.541142
AR,c,WL,g,X,SF,s,2015,25.0597,25.0597,R_IMF,68.93346
AR,c,WL,g,X,SG,s,2015,57.0488,57.0488,R_IMF,122.018956
AR,c,WL,g,X,SH,s,2015,161.745901,161.745901,R_IMF,209.675848
AR,c,WL,g,X,SI,s,2015,1473.496911,1473.496911,R_IMF,739.962378
AR,c,WL,g,X,SJ,s,2015,3688.364428,3688.364428,R_IMF,2728.896402
AR,c,WL,g,X,SK,s,2015,229.483502,229.483502,R_IMF,796.605949
AR,c,WL,g,X,SL,s,2015,207.972602,207.972602,R_IMF,177.361691
AR,c,WL,g,X,S,s,2016,13424.7069,13424.7069,R_IMF,11970.166846
AR,c,WL,g,X,SA,s,2016,1.6072,1.6072,R_IMF,12.479982
AR,c,WL,g,X,SB,s,2016,95.877301,95.877301,R_IMF,111.356168
AR,c,WL,g,X,SC,s,2016,2022.37993,2022.37993,R_IMF,1902.136576
AR,c,WL,g,X,SD,s,2016,4966.910674,4966.910674,R_IMF,4261.315264
AR,c,WL,g,X,SE,s,2016,1.5693,1.5693,R_IMF,32.326099
AR,c,WL,g,X,SF,s,2016,36.712201,36.712201,R_IMF,87.968678
AR,c,WL,g,X,SG,s,2016,91.465801,91.465801,R_IMF,154.452044
AR,c,WL,g,X,SH,s,2016,168.807403,168.807403,R_IMF,224.115955
AR,c,WL,g,X,SI,s,2016,1634.172724,1634.172724,R_IMF,776.035701
AR,c,WL,g,X,SJ,s,2016,3966.287159,3966.287159,R_IMF,2791.734195
AR,c,WL,g,X,SK,s,2016,256.562204,256.562204,R_IMF,1457.984735
AR,c,WL,g,X,SL,s,2016,182.355003,182.355003,R_IMF,158.261451
AR,c,WL,g,X,S,s,2017,15506.202,15506.202,R_IMF,13379.425787
AR,c,WL,g,X,SA,s,2017,5.5568,5.5568,R_IMF,16.830006
AR,c,WL,g,X,SB,s,2017,92.4138,92.4138,R_IMF,113.377354
AR,c,WL,g,X,SC,s,2017,1926.822,1926.822,R_IMF,1913.26069
AR,c,WL,g,X,SD,s,2017,5369.6177,5369.6177,R_IMF,4489.575011
AR,c,WL,g,X,SE,s,2017,4.3528,4.3528,R_IMF,33.498055
AR,c,WL,g,X,SF,s,2017,41.4075,41.4075,R_IMF,116.580261
AR,c,WL,g,X,SG,s,2017,140.7236,140.7236,R_IMF,192.322898
AR,c,WL,g,X,SH,s,2017,356.4983,356.4983,R_IMF,256.936722
AR,c,WL,g,X,SI,s,2017,2227.6876,2227.6876,R_IMF,1001.573525
AR,c,WL,g,X,SJ,s,2017,4647.7304,4647.7304,R_IMF,3111.093085
AR,c,WL,g,X,SK,s,2017,461.2897,461.2897,R_IMF,1940.927731
AR,c,WL,g,X,SL,s,2017,232.1018,232.1018,R_IMF,193.450448
AR,c,WL,g,X,S,s,2018,15342.1632,15342.1632,R_IMF,13337.103585
AR,c,WL,g,X,SA,s,2018,0.5299,0.5299,R_IMF,14.158788
AR,c,WL,g,X,SB,s,2018,130.343802,130.343802,R_IMF,137.074043
AR,c,WL,g,X,SC,s,2018,1935.962625,1935.962625,R_IMF,1996.208781
AR,c,WL,g,X,SD,s,2018,5562.807873,5562.807873,R_IMF,4671.77717
AR,c,WL,g,X,SE,s,2018,0,0,R_IMF,28.433263
AR,c,WL,g,X,SF,s,2018,44.442901,44.442901,R_IMF,112.259989
AR,c,WL,g,X,SG,s,2018,195.492003,195.492003,R_IMF,307.969586
AR,c,WL,g,X,SH,s,2018,321.051004,321.051004,R_IMF,247.548016
AR,c,WL,g,X,SI,s,2018,2240.249829,2240.249829,R_IMF,948.008745
AR,c,WL,g,X,SJ,s,2018,4220.580655,4220.580655,R_IMF,2814.940094
AR,c,WL,g,X,SK,s,2018,473.669506,473.669506,R_IMF,1884.505131
AR,c,WL,g,X,SL,s,2018,217.033103,217.033103,R_IMF,174.219979
AR,c,WL,g,X,S,s,2019,14802.4208,14802.4208,R_IMF,13117.138632
AR,c,WL,g,X,SA,s,2019,0,0,R_IMF,25.486277
AR,c,WL,g,X,SB,s,2019,116.960102,116.960102,R_IMF,134.974068
AR,c,WL,g,X,SC,s,2019,1920.954326,1920.954326,R_IMF,2021.507777
AR,c,WL,g,X,SD,s,2019,5240.662771,5240.662771,R_IMF,4706.846111
AR,c,WL,g,X,SE,s,2019,0.2772,0.2772,R_IMF,27.242021
AR,c,WL,g,X,SF,s,2019,45.259701,45.259701,R_IMF,74.976172
AR,c,WL,g,X,SG,s,2019,198.105603,198.105603,R_IMF,233.17914
AR,c,WL,g,X,SH,s,2019,284.486004,284.486004,R_IMF,211.726186
AR,c,WL,g,X,SI,s,2019,2090.386128,2090.386128,R_IMF,938.248223
AR,c,WL,g,X,SJ,s,2019,4260.698858,4260.698858,R_IMF,2953.156422
AR,c,WL,g,X,SK,s,2019,452.810906,452.810906,R_IMF,1619.038604
AR,c,WL,g,X,SL,s,2019,191.819203,191.819203,R_IMF,170.757632
AR,c,WL,g,X,S,s,2020,9491.7377,9491.7377,R_IMF,8942.907693
AR,c,WL,g,X,SA,s,2020,0,0,R_IMF,53.332295
AR,c,WL,g,X,SB,s,2020,65.2603,65.2603,R_IMF,91.057193
AR,c,WL,g,X,SC,s,2020,1250.2216,1250.2216,R_IMF,1537.105839
AR,c,WL,g,X,SD,s,2020,1727.4675,1727.4675,R_IMF,1650.542939
AR,c,WL,g,X,SE,s,2020,0.8988,0.8988,R_IMF,17.404181
AR,c,WL,g,X,SF,s,2020,34.6562,34.6562,R_IMF,77.542916
AR,c,WL,g,X,SG,s,2020,184.5345,184.5345,R_IMF,212.499374
AR,c,WL,g,X,SH,s,2020,209.3528,209.3528,R_IMF,193.805594
AR,c,WL,g,X,SI,s,2020,1992.5768,1992.5768,R_IMF,1037.922594
AR,c,WL,g,X,SJ,s,2020,3536.7724,3536.7724,R_IMF,2523.399898
AR,c,WL,g,X,SK,s,2020,324.065,324.065,R_IMF,1398.842769
AR,c,WL,g,X,SL,s,2020,165.9318,165.9318,R_IMF,149.452101
AR,c,WL,g,X,S,s,2021,9588.7357,9588.7357,R_IMF,9322.945917
AR,c,WL,g,X,SA,s,2021,0,0,R_IMF,67.897158
AR,c,WL,g,X,SB,s,2021,69.8299,69.8299,R_IMF,105.11581
AR,c,WL,g,X,SC,s,2021,1687.6443,1687.6443,R_IMF,2075.704228
AR,c,WL,g,X,SD,s,2021,394.1995,394.1995,R_IMF,902.158835
AR,c,WL,g,X,SE,s,2021,0.1801,0.1801,R_IMF,18.790676
AR,c,WL,g,X,SF,s,2021,37.1618,37.1618,R_IMF,105.813253
AR,c,WL,g,X,SG,s,2021,148.9699,148.9699,R_IMF,290.852771
AR,c,WL,g,X,SH,s,2021,245.9182,245.9182,R_IMF,204.097091
AR,c,WL,g,X,SI,s,2021,2360.1291,2360.1291,R_IMF,1212.681258
AR,c,WL,g,X,SJ,s,2021,4065.9193,4065.9193,R_IMF,2857.381221
AR,c,WL,g,X,SK,s,2021,394.9688,394.9688,R_IMF,1298.202481
AR,c,WL,g,X,SL,s,2021,183.8148,183.8148,R_IMF,184.251133
AR,c,WL,g,X,S,s,2022,14413.6792,14413.6792,R_IMF,13111.659002
AR,c,WL,g,X,SA,s,2022,0,0,R_IMF,77.455181
AR,c,WL,g,X,SB,s,2022,57.7788,57.7788,R_IMF,92.009592
